"Country Name","Country Code","Year","average_value_Automated teller machines (ATMs) (per 100,000 adults)","average_value_Bank liquid reserves to bank assets ratio (%)","average_value_Borrowers from commercial banks (per 1,000 adults)","average_value_Broad money (% of GDP)","average_value_Broad money (current LCU)","average_value_Broad money growth (annual %)","average_value_Broad money to total reserves ratio","average_value_Claims on central government (annual growth as % of broad money)","average_value_Claims on central government, etc. (% GDP)","average_value_Claims on private sector (annual growth as % of broad money)","average_value_Commercial bank branches (per 100,000 adults)","average_value_Consumer price index (2010 = 100)","average_value_DEC alternative conversion factor (LCU per US$)","average_value_Deposit interest rate (%)","average_value_Depositors with commercial banks (per 1,000 adults)","average_value_Depth of credit information index (0=low to 8=high)","average_value_Domestic credit provided by financial sector (% of GDP)","average_value_Domestic credit to private sector (% of GDP)","average_value_Domestic credit to private sector by banks (% of GDP)","average_value_Foreign direct investment, net (BoP, current US$)","average_value_Foreign direct investment, net inflows (% of GDP)","average_value_Foreign direct investment, net inflows (BoP, current US$)","average_value_Foreign direct investment, net outflows (% of GDP)","average_value_Foreign direct investment, net outflows (BoP, current US$)","average_value_GDP deflator: linked series (base year varies by country)","average_value_Inflation, GDP deflator: linked series (annual %)","average_value_Inflation, consumer prices (annual %)","average_value_Interest rate spread (lending rate minus deposit rate, %)","average_value_International migrant stock (% of population)","average_value_International migrant stock, total","average_value_Lending interest rate (%)","average_value_Monetary Sector credit to private sector (% GDP)","average_value_Net domestic credit (current LCU)","average_value_Net foreign assets (current LCU)","average_value_Net migration","average_value_Official exchange rate (LCU per US$, period average)","average_value_Personal remittances, paid (current US$)","average_value_Personal remittances, received (% of GDP)","average_value_Personal remittances, received (current US$)","average_value_Personal transfers, receipts (BoP, current US$)","average_value_Portfolio equity, net inflows (BoP, current US$)","average_value_Portfolio investment, net (BoP, current US$)","average_value_Private credit bureau coverage (% of adults)","average_value_Public credit registry coverage (% of adults)","average_value_Real interest rate (%)","average_value_Strength of legal rights index (0=weak to 12=strong)","average_value_Total reserves (% of total external debt)","average_value_Total reserves (includes gold, current US$)","average_value_Total reserves in months of imports","average_value_Total reserves minus gold (current US$)"
"Central African Republic","CAF","1966","","","","14.7164948453608","5710000000","2.69784172661871","3.61852194799012","7.19424460431655","-1.54639175257732","16.9064748201439","","","245.6784","","","","","16.1340206185567","16.1340206185567","","","","","","","","","","","","","16.1340206185567","5660000000","1362000000","","245.678436557644","","","","","","","","","","","","6423000","","6423000"
"Chile","CHL","1960","","","","0","0","","0","","0","","","","0.0011","","","","","","22.11900022119","","","","","","","","","","","104805","","22.11900022119","1000000","0","","0.0010489693750843","","","","","","","","","","","","111888400","","66000000"
"China","CHN","2014","55.053668984737","","318.03","190.870921682684","122837482925283","11.0119361361336","5.12687975420285","0.54254484903025","8.55347386124636","9.58397616031297","8.06","113.294060199837","6.1434","2.75","17.05","6","","140.236886965913","140.235081055166","-144967626758.575","2.55923344660606","268097181064.335","1.17538450943048","123129554305.76","100.002944180253","1.03106368767851","1.92164162788521","2.85","","","5.6","140.236886965913","107696217744950","28777073024435.2","","6.14343409448867","4155302052.29","0.285523157008015","29910500593.04","","51915788939.8445","-82429447386.7501","0","33.2","4.52230843223192","4","219.301600468409","3900039302991.09","18.9654201864734","3859167962991.09"
"Cyprus","CYP","1974","","","","","","","","","","","","21.2719285408539","0.8979","","","","","","","","","32400000","","","","","16.1766666665001","","","","","","","","","0.364692710725132","","","","","","","","","","","","329904212.660735","","250082212.660735"
"Dominica","DMA","1962","","","","","","","","","","","","","1.7143","","","","","","","","","","","","","","","","","","","","","","","1.71429000071429","","","","","","","","","","","","","",""
"Dominican Republic","DOM","1970","","","","19.4567485695052","289030000","22.2734579913698","8.93893762011417","7.45409933158474","8.69336923594749","12.0187833150013","","0.552001374722428","1","","","","","","12.1272298889263","-71600000","4.8199259508583","71600000","0","0","","","3.8166666664171","","","195166","","12.1272298889263","331640000","-15229999.98694","","1","","1.68966680444295","25100000.38","25100000","0","0","","","","","","32333820","0.990821859039837","29120000"
"Algeria","DZA","2012","6.20925063701216","73.9940701435763","42.58","67.9543981935764","11015134770498","10.9369170859084","0.708245537703057","-2.51524755269874","-29.0438396259417","2.74437453425891","5.23","113.81793046074","77.536","1.75","","","","14.0253066800965","14.0087887765777","-1541844615.21892","0.717693335672016","1500402452.8635","-0.0198231905590146","-41442162.3554248","100","7.45834388945671","8.89145091062314","6.25","","","8","14.0253066800965","-342268932338.737","14810905724457.2","-143268","77.5359666666667","44242618.9188504","0.10276585887521","214841268.635457","50860802.5996095","0","0","0","2.3","0.504061472509279","","3636.66172373682","200586904241.375","34.3073971199893","191297104701.131"
"Estonia","EST","1968","","","","","","","","","","","","","1.8894937038","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fragile and conflict affected situations","FCS","1986","","","","29.0248933641271","","","","","9.64575070733266","","","","","","","","","16.1437584340147","16.1988640385248","","0.11819545868852","124851458.334122","0.255714970729493","486242802.739058","","","","","","","","16.2670101197691","","","","","1391663475.1106","0.468804143795153","928033372.314476","","0","","","","","","17.7955236226931","","",""
"Fiji","FJI","2008","25.9211693477123","7.99177417936388","","65.4790014641185","3676581369.91481","-6.46703047654737","7.16040204703861","-3.22337372506682","36.0245310643884","6.35723609805212","11.61","93.5142690772612","1.5937","2.75358333333333","","","127.462251290838","85.9113508881267","64.4449163935691","-687997805.484995","19.2785877551773","679220489.280091","-0.249130088655775","-8777316.20490329","71.6379935293743","2.15811881653597","7.7322785791842","5.24368621098341","","","7.99726954431674","64.4697882894496","3944087135.31579","585284582.962209","","1.59403441077344","12870527.1515127","4.16320180720189","146677339.874132","96727262.9686261","","-13143700.4239787","42.3","0","5.71579703642271","","67.0225839796987","322181205.007235","1.39875472492896","321485405.007235"
