"Country Name","Country Code","Year","average_value_Access to electricity (% of population)","average_value_Agricultural land (% of land area)","average_value_Agricultural land (sq. km)","average_value_Agriculture, forestry, and fishing, value added (% of GDP)","average_value_Annual freshwater withdrawals, total (% of internal resources)","average_value_Annual freshwater withdrawals, total (billion cubic meters)","average_value_Arable land (% of land area)","average_value_CO2 emissions (kg per 2010 US$ of GDP)","average_value_CO2 emissions (kg per 2017 PPP $ of GDP)","average_value_CO2 emissions (kt)","average_value_CO2 emissions (metric tons per capita)","average_value_CO2 emissions from gaseous fuel consumption (% of total)","average_value_CO2 emissions from gaseous fuel consumption (kt)","average_value_CO2 emissions from liquid fuel consumption (% of total)","average_value_CO2 emissions from liquid fuel consumption (kt)","average_value_CO2 emissions from solid fuel consumption (% of total)","average_value_CO2 emissions from solid fuel consumption (kt)","average_value_CPIA public sector management and institutions cluster average (1=low to 6=high)","average_value_Foreign direct investment, net inflows (% of GDP)","average_value_Forest area (% of land area)","average_value_Forest area (sq. km)","average_value_Land area where elevation is below 5 meters (% of total land area)","average_value_Marine protected areas (% of territorial waters)","average_value_Methane emissions (% change from 1990)","average_value_Methane emissions (kt of CO2 equivalent)","average_value_Mortality rate, under-5 (per 1,000 live births)","average_value_Nitrous oxide emissions (% change from 1990)","average_value_Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","average_value_Other greenhouse gas emissions (% change from 1990)","average_value_Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","average_value_Population growth (annual %)","average_value_Population in urban agglomerations of more than 1 million (% of total population)","average_value_Population living in areas where elevation is below 5 meters (% of total population)","average_value_Population, total","average_value_Primary completion rate, total (% of relevant age group)","average_value_Renewable electricity output (% of total electricity output)","average_value_Renewable energy consumption (% of total final energy consumption)","average_value_Rural land area where elevation is below 5 meters (% of total land area)","average_value_Rural land area where elevation is below 5 meters (sq. km)","average_value_Rural population living in areas where elevation is below 5 meters (% of total population)","average_value_School enrollment, primary and secondary (gross), gender parity index (GPI)","average_value_Terrestrial and marine protected areas (% of total territorial area)","average_value_Terrestrial protected areas (% of total land area)","average_value_Total greenhouse gas emissions (kt of CO2 equivalent)","average_value_Urban land area where elevation is below 5 meters (% of total land area)","average_value_Urban land area where elevation is below 5 meters (sq. km)","average_value_Urban population","average_value_Urban population (% of total population)","average_value_Urban population growth (annual %)","average_value_Urban population living in areas where elevation is below 5 meters (% of total population)"
"Central African Republic","CAF","1992","","8.0580435969052","50200","","0.0265248226950355","0.0374","3.09801277729622","0.117549207369834","0.0477908080920783","150","0.0506887588553262","0","0","144.235333333333","216.353","0","0","","-0.756175025884516","37.148865132107","231430","","","-13.2109588003635","16080","176.6","-13.1010499565305","19730","-6.70797844855602","-119.730797767639","2.76593699593303","","","2959236","23.3442401885986","81.25","94.1078508994921","","","","0.628329992294312","","","35970","","","1094533","36.987","2.98518834037586",""
"Chile","CHL","1960","","","","10.5041031652989","","","","0.459253619689843","","13490.893","1.65878678291423","0.679532481652623","91.675","51.3726556129383","6930.63","33.4601793965752","4514.077","","","","","","","","","157.1","","","","","","24.3443983933088","","8132988","","","","","","","","","","","","","5517094","67.836","",""
"China","CHN","2014","100","56.0967380472843","5286950","8.64349139629661","","","12.6958930783302","1.18827295397083","0.608602260144727","9894940","7.25291914357129","3.57637507655428","353880.168","12.7752828718517","1264106.575","75.1004671478554","7431146.164","","2.55923344660606","22.1075946459969","2083574.76","","","","1206210","11.6","","528020","","-415197","0.506311591779847","25.546683354468","","1364270000","","22.6091537829535","12.0614004135132","","","","1.00947999954224","","","11865310","","","740239259","54.259","2.82948268527963",""
"Cyprus","CYP","1974","","31.0606060606061","2870","","","","22.9437229437229","","","1925.175","2.99721167887757","0","0","91.2380952380952","1756.493","0","0","","","","","","","","344.135","30.4","","195.22901","","23.1321603393601","1.12993960304924","","","642322","86.5982666015625","","","","","","0.979860007762909","","","2681.52401","","","289090","45.007","6.25844087369598",""
"Dominica","DMA","1962","","24","180","","","","10.6666666666667","","","11.001","0.177498467198038","0","0","100","11.001","0","0","","","","","","","","","114.4","","","","","1.53156293357733","","","61978","","","","","","","","","","","","","23539","37.979","1.70958982806596",""
"Dominican Republic","DOM","1970","","48.3336783274684","23350","23.2379670144732","","","16.9737114469054","0.406742762798654","","3109.616","0.691068470452175","0","0","91.9811320754717","2860.26","0.117924528301887","3.667","","4.8199259508583","","","","","","3786.76","123.5","","1097.8464","","177.124569335938","2.85373032333917","15.260764998371","","4499722","","","","","","","","","","8865.8224","","","1812218","40.274","5.53880226452675",""
"Algeria","DZA","2012","98.7646604654583","17.381490003107","413981.9","8.77068635508419","69.3333333333333","7.8","3.15168742180087","0.73832955910984","0.301557411425317","126640","3.38755462612394","50.6702724257738","64168.833","38.3610360075805","48580.416","0.819457517372078","1037.761","","0.717693335672016","0.811675497745346","19332","","","50.2412119110572","48690","26.2","49.9473400536068","10030","202.686602120154","1332.548828125","1.95146367479529","6.67378220768251","","37383899","101.552879333496","1.08368033172465","0.180399999022484","","","","","","","189820","","","25763114","68.915","2.94162065886994",""
"Estonia","EST","1968","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.925837506546126","","","1331214","","","","","","","","","","","","","846346","63.577","2.09349092819433",""
"Fragile and conflict affected situations","FCS","1986","","30.9383182048417","5330490","16.7496308868709","","","6.74307451904395","0.68232053373623","","435514.944438198","1.09636596340841","17.3551558251412","109646.074862394","59.7772432545493","240555.760350448","3.86007111482953","","","0.11819545868852","","","","","","470038.09163","","","264226.74465724","","1617112.378234","2.43237396713134","13.3794454230866","","397235010","60.4391899108887","","","","","","0.78171","","","2778328.43821157","","","117859996","29.7988948841015","4.30569886232179",""
"Fiji","FJI","2008","86.16","23.4263820470717","4280","10.6974950619792","","","9.25013683634373","0.310352811147302","0.107468930105509","960","1.1356162374195","0","0","85.9453125","825.075","0","0","","19.2785877551773","58.0123700054735","10598.86","","","11.3129544821245","840","23.7","9.49360443752296","370","-78.7500000000001","-11.9223690033","1.09079599403503","","","845356","105.878280639648","64.9426400273446","40.1342010498047","","","","1.03134000301361","","","2210","","","432366","51.146","2.05158886422927",""
